Name,Url,Cuisines,Review_no,Price_range,Address,Phone_no.,Operating_hours,Ratings,Image_url,Area
Meatsmith Little India,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13358164-Reviews-Meatsmith_Little_India-Singapore.html,"Indian,Barbecue",70,$$,"21 Campbell Lane, Singapore 209894 Singapore",6596259056,"{""Sunday"":[""1130-2330""],""Monday"":[""1700-2330""],""Tuesday"":[""1700-2330""],""Wednesday"":[""1700-2330""],""Thursday"":[""1700-2330""],""Friday"":[""1700-2330""],""Saturday"":[""1130-2330""]}",4,https://media-cdn.tripadvisor.com/media/photo-p/13/49/a4/41/photo4jpg.jpg,Little India
The Singapura Club - Little India,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d17763240-Reviews-The_Singapura_Club_Little_India-Singapore.html,"Indian,Bar,Pub",31,$$,"102 Dunlop Street, Singapore 209421 Singapore",6569573369,"{""Sunday"":[""1100-2359""],""Monday"":[""1100-2359""],""Tuesday"":[""1100-2359""],""Wednesday"":[""1100-2359""],""Thursday"":[""1100-2359""],""Friday"":[""1100-2359""],""Saturday"":[""1100-2359""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/18/7b/0b/35/beautiful-and-quaint.jpg,Little India
Honzen Cafe,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3625130-Reviews-Honzen_Cafe-Singapore.html,"Chinese,Vegetarian Friendly",6,$$,"470 North Bridge Road Bugis Cube Near City Square Mall and Farrer Park MRT Station, Singapore 188735 Singapore",6563330478,"{""Sunday"":[""1100-1430"",""1730-2130""],""Monday"":[],""Tuesday"":[""1100-1430"",""1730-2130""],""Wednesday"":[""1100-1430"",""1730-2130""],""Thursday"":[""1100-1430"",""1730-2130""],""Friday"":[""1100-1430"",""1730-2130""],""Saturday"":[""1100-1430"",""1730-2130""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/05/4c/38/d8/honzen-cafe.jpg,Farrer Park
River Walk Tandur,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d4128591-Reviews-River_Walk_Tandur-Singapore.html,"Indian,Asian,Vegetarian Friendly",19,$$,"677 Rangoon Rd, Singapore 210677 Singapore",6562910275,"{""Sunday"":[""1130-2100""],""Monday"":[""1130-2100""],""Tuesday"":[""1130-2100""],""Wednesday"":[""1130-2100""],""Thursday"":[""1130-2100""],""Friday"":[""1130-2100""],""Saturday"":[""1130-2100""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/0f/80/a8/f6/river-walk-tandur.jpg,Farrer Park
Old Hen Kitchen,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d12799889-Reviews-Old_Hen_Kitchen-Singapore.html,"Quick Bites,Cafe,Vegetarian Friendly",28,$$,"127 Owen Road, Singapore 218931 Singapore",6562910632,"{""Sunday"":[""1100-2200""],""Monday"":[""1100-2200""],""Tuesday"":[""1100-2200""],""Wednesday"":[""1100-2200""],""Thursday"":[""1100-2200""],""Friday"":[""1100-2200""],""Saturday"":[""1100-2200""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/10/59/a8/d4/photo0jpg.jpg,Farrer Park
Enjoy Eating House and Bar @ Jln Besar,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d15840049-Reviews-Enjoy_Eating_House_and_Bar_Jln_Besar-Singapore.html,"Chinese,Bar,Asian",95,$$,"383 Jalan Besar Kam Leng Hotel Inside Kam Leng Hotel, Singapore 209001 Singapore",6592991601,"{""Sunday"":[""1100-2300""],""Monday"":[""1100-2300""],""Tuesday"":[""1100-2300""],""Wednesday"":[""1100-2300""],""Thursday"":[""1100-2300""],""Friday"":[""1100-2300""],""Saturday"":[""1100-2300""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/17/14/c6/4d/singapore-style-chilli.jpg,Jalan Besar
The 1925 Brewing Co. Joo Chiat,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d6778564-Reviews-The_1925_Brewing_Co_Joo_Chiat-Singapore.html,"Chinese,Bar,Grill",97,$$,"261 Joo Chiat Road, Singapore 427515 Singapore",6569091425,"{""Sunday"":[""1600-2359""],""Monday"":[""1100-1500"",""1600-2359""],""Tuesday"":[""1100-1500"",""1600-2359""],""Wednesday"":[""1100-1500"",""1600-2359""],""Thursday"":[""1100-1500"",""1600-2359""],""Friday"":[""1100-1500"",""1600-2359""],""Saturday"":[""1600-2359""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/16/1c/ff/56/the-1925-brewing-co-joo.jpg,Jalan Besar
The Bravery Cafe,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5421302-Reviews-The_Bravery_Cafe-Singapore.html,"Cafe,Vegetarian Friendly",62,$$,"66 Horne Rd, Singapore 209073 Singapore",6562254387,"{""Sunday"":[""0800-2000""],""Monday"":[""0900-1700""],""Tuesday"":[""0900-1700""],""Wednesday"":[""0900-1700""],""Thursday"":[""0900-1700""],""Friday"":[""0900-1700""],""Saturday"":[""0800-2000""]}",4,https://media-cdn.tripadvisor.com/media/photo-p/09/c6/fc/bc/photo6jpg.jpg,Lavender
Petite Menu,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d4410029-Reviews-Petite_Menu-Singapore.html,Asian,30,$$,"139 Lavender Street Aqueen Hotel - Lavender, Singapore 338739 Singapore",6563957782,"{""Sunday"":[""0700-2300""],""Monday"":[""0700-2300""],""Tuesday"":[""0700-2300""],""Wednesday"":[""0700-2300""],""Thursday"":[""0700-2300""],""Friday"":[""0700-2300""],""Saturday"":[""0700-2300""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/03/df/a0/de/getlstd-property-photo.jpg,Lavender
The Curry Culture,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3512529-Reviews-The_Curry_Culture-Singapore.html,"Indian,Asian,Vegetarian Friendly",1083,$$,"31 Cuppage Road Cuppage Terrace Cuppage Rd, Singapore 229457 Singapore",6562356133,"{""Sunday"":[""1145-1430"",""1700-2230""],""Monday"":[""1145-1430"",""1700-2230""],""Tuesday"":[""1145-1430"",""1700-2230""],""Wednesday"":[""1145-1430"",""1700-2230""],""Thursday"":[""1145-1430"",""1700-2230""],""Friday"":[""1145-1430"",""1700-2230""],""Saturday"":[""1145-1430"",""1700-2230""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/02/f6/25/f2/the-curry-culture.jpg,Orchard
Saizeriya Orchard Gateway,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d7171152-Reviews-Saizeriya_Orchard_Gateway-Singapore.html,"Italian,Pizza,Vegetarian Friendly",63,$,"277 Orchard Road Orchard Gateway #B2-11 Orchard Gateway, Singapore 238858 Singapore",6567024451,"{""Sunday"":[""1000-2100""],""Monday"":[""1000-2100""],""Tuesday"":[""1000-2100""],""Wednesday"":[""1000-2100""],""Thursday"":[""1000-2100""],""Friday"":[""1000-2100""],""Saturday"":[""1000-2100""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/0c/a2/6e/76/hamburg-steak.jpg,Orchard
The Orchard Cafe,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5430844-Reviews-The_Orchard_Cafe-Singapore.html,"Cafe,International,Asian",398,$$,"442 Orchard Road Orchard Hotel Singapore Lobby Level Orchard Hotel, Singapore 238879 Singapore",6567396565,"{""Sunday"":[""1130-1430"",""1800-2200""],""Monday"":[""1130-1430"",""1800-2200""],""Tuesday"":[""1130-1430"",""1800-2200""],""Wednesday"":[""1130-1430"",""1800-2200""],""Thursday"":[""1130-1430"",""1800-2200""],""Friday"":[""1130-1430"",""1800-2200""],""Saturday"":[""1130-1430"",""1800-2200""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-p/22/3b/fd/a4/raising-the-bar-on-buffets.jpg,Orchard
Kith Cafe,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d12179968-Reviews-Kith_Cafe-Singapore.html,"International,Vegetarian Friendly",64,$$,"11 Cairnhill Road Ascott Orchard Singapore #01-01, Singapore 229724 Singapore",,"{""Sunday"":[""0630-2200""],""Monday"":[""0630-2200""],""Tuesday"":[""0630-2200""],""Wednesday"":[""0630-2200""],""Thursday"":[""0630-2200""],""Friday"":[""0630-2200""],""Saturday"":[""0630-2200""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/0e/a2/02/b4/img-20170311-125852-largejpg.jpg,Cairnhill
Tanoshii,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d17425948-Reviews-Tanoshii-Singapore.html,"Japanese,Asian",20,$$$,"56 Cairnhill Road The Light @ Cairnhill public car parks available at Anthony Road or next to the Arts Fission Company, Singapore 229667 Singapore",6562193482,"{""Sunday"":[""0530-2300""],""Monday"":[""0530-2300""],""Tuesday"":[""0530-2300""],""Wednesday"":[""0530-2300""],""Thursday"":[""0530-2300""],""Friday"":[""0530-2300""],""Saturday"":[""0530-2300""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/1a/ae/9a/88/tanoshii.jpg,Cairnhill
"River Valley Restaurant
",https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d7345284-Reviews-River_Valley_Restaurant-Singapore.html,"Indian,Vegetarian Friendly,Vegan Options",29,$$,"417 River Valley Road #417, Singapore 248316 Singapore",6562350553,"{""Sunday"":[""1100-2300""],""Monday"":[""1100-2300""],""Tuesday"":[""1100-2300""],""Wednesday"":[""1100-2300""],""Thursday"":[""1100-2300""],""Friday"":[""1130-0200""],""Saturday"":[""1130-0200""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/07/1b/38/be/kurry-korner.jpg,River Valley
Spize @ River Valley,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d794053-Reviews-Spize_River_Valley-Singapore.html,"Mediterranean,Asian,Vegetarian Friendly",376,$$,"409 River Valley Road, Singapore 248307 Singapore",6563377493,"{""Sunday"":[""1100-0500""],""Monday"":[""1100-0500""],""Tuesday"":[""1100-0500""],""Wednesday"":[""1100-0500""],""Thursday"":[""1100-0500""],""Friday"":[""1100-0500""],""Saturday"":[""1100-0500""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/11/db/a5/a2/alfresco-area-with-view.jpg,River Valley
Five Star Hainanese Chicken Rice (River Valley),https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1233380-Reviews-Five_Star_Hainanese_Chicken_Rice_River_Valley-Singapore.html,"Chinese,Asian,Singaporean",72,$$,"419 River Valley Road, Singapore 248318 Singapore",6562356760,"{""Sunday"":[""1100-0200""],""Monday"":[""1100-0200""],""Tuesday"":[""1100-0200""],""Wednesday"":[""1100-0200""],""Thursday"":[""1100-0200""],""Friday"":[""1100-0200""],""Saturday"":[""1100-0200""]}",4,https://media-cdn.tripadvisor.com/media/photo-f/0a/93/b3/d1/restaurant-view.jpg,River Valley
Nuss Bukit Timah Guild House,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d6582594-Reviews-Nuss_Bukit_Timah_Guild_House-Singapore.html,European,24,$$,"1F Cluny Road, Singapore 259602 Singapore",6565863260,"{""Sunday"":[""1000-2100""],""Monday"":[""1000-2100""],""Tuesday"":[""1000-2100""],""Wednesday"":[""1000-2100""],""Thursday"":[""1000-2100""],""Friday"":[""1000-2100""],""Saturday"":[""1000-2100""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/18/3a/7d/a7/interior-seating.jpg,Bukit Timah
Greenwood Fish Market @Bukit Timah,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d775954-Reviews-Greenwood_Fish_Market_Bukit_Timah-Singapore.html,Seafood,380,$$,"34 Greenwood Avenue Hillcrest Park, Singapore 289236 Singapore",6564674950,"{""Sunday"":[""1100-2230""],""Monday"":[""1200-2230""],""Tuesday"":[""1200-2230""],""Wednesday"":[""1200-2230""],""Thursday"":[""1200-2230""],""Friday"":[""1200-2230""],""Saturday"":[""1100-2230""]}",3.5,https://media-cdn.tripadvisor.com/media/photo-s/14/18/b8/a3/34-wholesale-retail-seafood.jpg,Bukit Timah
Boulangerie Asanoya - Bukit Timah,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8412178-Reviews-Boulangerie_Asanoya_Bukit_Timah-Singapore.html,"Bakeries,French,Japanese",3,$$,"913 Bukit Timah Road Tan Chong Motor Centre next to Tan Chong Motors, Singapore 589623 Singapore",6567038713,"{""Sunday"":[""1000-2000""],""Monday"":[""1000-2000""],""Tuesday"":[""1000-2000""],""Wednesday"":[""1000-2000""],""Thursday"":[""1000-2000""],""Friday"":[""1000-2000""],""Saturday"":[""1000-2000""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/08/63/3b/0f/yummy-baked-goodies.jpg,Bukit Timah
Crystal Jade Hong Kong Kitchen (Holland Village),https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d779797-Reviews-Crystal_Jade_Hong_Kong_Kitchen_Holland_Village-Singapore.html,"Chinese,Seafood,Asian",157,$$,"2 Lorong Mambong, Holland Village, Singapore 277671 Singapore",6564690300,"{""Sunday"":[""0830-2200""],""Monday"":[""0830-2200""],""Tuesday"":[""0830-2300""],""Wednesday"":[""0830-2300""],""Thursday"":[""0830-2300""],""Friday"":[""0830-2300""],""Saturday"":[""0830-2300""]}",3.5,https://media-cdn.tripadvisor.com/media/photo-s/0a/b2/5c/3c/exterior.jpg,Holland Road
Harry's Holland Village,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d10674578-Reviews-Harry_s_Holland_Village-Singapore.html,"Bar,European,Asian",20,$$,"27 Lorong Mambong Holland Village, Singapore 277686 Singapore",6563370657,"{""Sunday"":[""1130-2300""],""Monday"":[""1130-2300""],""Tuesday"":[""1130-2300""],""Wednesday"":[""1130-2300""],""Thursday"":[""1130-2300""],""Friday"":[""""1130-0000],""Saturday"":[""1130-0000""]}",3,https://media-cdn.tripadvisor.com/media/photo-s/1c/20/bd/29/harry-s-premium-lager.jpg,Holland Road
PARK at Holland Village,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5421249-Reviews-PARK_at_Holland_Village-Singapore.html,"American,Bar,Cafe",35,$$,"281 Holland Ave, Singapore 278996 Singapore",6597213815,"{""Sunday"":[""1000-0000""],""Monday"":[],""Tuesday"":[""1000-0000""],""Wednesday"":[""1000-0000""],""Thursday"":[""1000-0000""],""Friday"":[""1000-0000""],""Saturday"":[""1000-0000""]}",3.5,https://media-cdn.tripadvisor.com/media/photo-s/0e/98/52/6e/by-juihong-on-instagram.jpg,Holland Road
Bariuma Tanglin,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3808023-Reviews-Bariuma_Tanglin-Singapore.html,"Japanese,Asian,Soups",63,$$,"19 Tanglin Road Tanglin Shopping Centre #b1-01/02, Singapore 247909 Singapore",6568874484,"{""Sunday"":[""1100-2200""],""Monday"":[""1100-2200""],""Tuesday"":[""1100-2200""],""Wednesday"":[""1100-2200""],""Thursday"":[""1100-2200""],""Friday"":[""1100-2200""],""Saturday"":[""1100-2200""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/08/01/8d/30/caption.jpg,Tanglin
Tanglin Club,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3856497-Reviews-Tanglin_Club-Singapore.html,"International,European,Grill",128,$$,"5 Stevens Road Tanglin Club, Singapore 257814 Singapore",6566220555,"{""Sunday"":[""0700-1030""],""Monday"":[""0600-1030""],""Tuesday"":[""0600-1030""],""Wednesday"":[""0600-1030""],""Thursday"":[""0600-1030""],""Friday"":[""0600-1030""],""Saturday"":[""0700-1030""]}",4,https://media-cdn.tripadvisor.com/media/photo-f/19/75/bf/a1/tavern.jpg,Tanglin
Eggs & Berries Tanglin,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d6895732-Reviews-Eggs_Berries_Tanglin-Singapore.html,American,1,$$,"163 Tanglin Road #03-18 Tanglin Mall, Singapore 247933 Singapore",6568363112,"{""Sunday"":[""0800-1600""],""Monday"":[""0800-1600""],""Tuesday"":[""0800-1600""],""Wednesday"":[""0800-1600""],""Thursday"":[""0800-1600""],""Friday"":[""0800-1600""],""Saturday"":[""0800-1600""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/06/60/a6/0a/eggs-berries-tanglin.jpg,Tanglin
The Marmalade Pantry at Novena,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3588965-Reviews-The_Marmalade_Pantry_at_Novena-Singapore.html,"Cafe,International,Fusion",319,$$,"8 Sinaran Drive, #01-02/04 Oasia Hotel Novena, Singapore 307470 Singapore",6566640348,"{""Sunday"":[""1200-2100""],""Monday"":[""1200-2100""],""Tuesday"":[""1200-2100""],""Wednesday"":[""1200-2100""],""Thursday"":[""1200-2100""],""Friday"":[""1200-2100""],""Saturday"":[""1200-2100""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/1c/16/80/d1/marmalade-mac-cheese.jpg,Novena
Udders Ice Cream Novena,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d943767-Reviews-Udders_Ice_Cream_Novena-Singapore.html,"Dessert,Cafe",75,$$,"155 Thomson Road Goldhill Plaza, Singapore 307608 Singapore",6562546629,"{""Sunday"":[""1200-2300""],""Monday"":[""1200-2300""],""Tuesday"":[""1200-2300""],""Wednesday"":[""1200-2300""],""Thursday"":[""1200-2300""],""Friday"":[""1200-2300""],""Saturday"":[""1200-2300""]}",4,https://media-cdn.tripadvisor.com/media/photo-f/0f/12/3e/90/spacious-outlet-to-enjoy.jpg,Novena
Real Food Cafe - Novena,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d6589331-Reviews-Real_Food_Cafe_Novena-Singapore.html,"Cafe,Vegetarian Friendly,Vegan Options",49,$$,"10 Sinaran Drive Square 2 Floor 1 Unit 105 129 106, Singapore 307506 Singapore",6563972289,"{""Sunday"":[""1000-2000""],""Monday"":[""1000-2100""],""Tuesday"":[""1000-2100""],""Wednesday"":[""1000-2100""],""Thursday"":[""1000-2100""],""Friday"":[""1000-2100],""Saturday"":[""1000-2100""]}",3.5,https://media-cdn.tripadvisor.com/media/photo-s/09/16/42/79/real-food-cafe-novena.jpg,Novena
Little Part 1 Cafe,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5425365-Reviews-Little_Part_1_Cafe-Singapore.html,"Bar,Pizza,Cafe",24,$$,"54 Blair Road 01-01, Singapore 089954 Singapore",6569098354,"{""Sunday"":[""0900-2100""],""Monday"":[""1100-2230""],""Tuesday"":[""1100-2230""],""Wednesday"":[""1100-2230""],""Thursday"":[""1100-2230""],""Friday"":[""1100-2230""],""Saturday"":[""1100-2230""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/1b/4a/0c/e5/this-is-a-little-quaint.jpg,Thomson
Badoque Cafe,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5431108-Reviews-Badoque_Cafe-Singapore.html,"Steakhouse,Mediterranean,Asian",81,$$,"298 Bedok Road Bedok Shopping Complex Simpang Bedok, Singapore 469454 Singapore",6564466928,"{""Sunday"":[""1200-2300""],""Monday"":[""1200-2300""],""Tuesday"":[""1200-2300""],""Wednesday"":[""1200-2300""],""Thursday"":[""1200-2300""],""Friday"":[""1200-2300""],""Saturday"":[""1200-2300""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/16/e6/d9/62/wagyu-steak.jpg,Thomson
O'maJ,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5929137-Reviews-O_maJ-Singapore.html,"Steakhouse,International,Fusion",83,$$,"273 Thomson Road Novena Gardens 01-06 Novena Gardens, Singapore 307644 Singapore",6582613992,"{""Sunday"":[""1130-2300""],""Monday"":[""1130-2300""],""Tuesday"":[""1130-2300""],""Wednesday"":[""1130-2300""],""Thursday"":[""1130-2300""],""Friday"":[""1130-2300""],""Saturday"":[""1130-2300""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/19/f9/23/b0/kg-with-4-sides-kindly.jpg,Thomson
L'eclair Patisserie,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d17705094-Reviews-L_eclair_Patisserie-Singapore.html,"French,Asian,Singaporean",6,$$,"78 Airport Boulevard 01-235 Jewel Changi Airport, Singapore 819666 Singapore",6569099601,"{""Sunday"":[""0900-2300""],""Monday"":[""0900-2300""],""Tuesday"":[""0900-2300""],""Wednesday"":[""0900-2300""],""Thursday"":[""0900-2300""],""Friday"":[""0900-2300""],""Saturday"":[""0900-2300""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/18/52/46/21/l-eclair-jewel-store.jpg,Toa Payoh
The Boiler (Howard Road),https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d6922302-Reviews-The_Boiler_Howard_Road-Singapore.html,"Seafood,Singaporean",452,$$,"18 Howard Road Novelty Bizcentre #01-06, Singapore 369585 Singapore",6566351285,"{""Sunday"":[""1200-2245""],""Monday"":[""1600-2245""],""Tuesday"":[""1600-2245""],""Wednesday"":[""1600-2245""],""Thursday"":[""1600-2245""],""Friday"":[""1600-2245""],""Saturday"":[""1200-2245""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/10/64/eb/c6/miso-dijon-salmon.jpg,Toa Payoh
Kelly Jie Seafood (Former TPY Mellben),https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d811312-Reviews-Kelly_Jie_Seafood_Former_TPY_Mellben-Singapore.html,"Chinese,Seafood,Asian",477,$$,"Block 211 Toa Payoh Lorong 8 #01-11/15, Singapore 310211 Singapore",6563533120,"{""Sunday"":[""1200-2245""],""Monday"":[""1600-2245""],""Tuesday"":[""1600-2245""],""Wednesday"":[""1600-2245""],""Thursday"":[""1600-2245""],""Friday"":[""1600-2245""],""Saturday"":[""1200-2245""]}",3.5,https://media-cdn.tripadvisor.com/media/photo-s/10/63/1a/bd/signature-claypot-crab.jpg,Toa Payoh
SHAMIANA North Indian Restaurant,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d9458125-Reviews-SHAMIANA_North_Indian_Restaurant-Singapore.html,"Indian,Asian,Vegetarian Friendly",46,$$,"24 Maju Avenue Serangoon Garden Estate Serangoon Garden, Singapore 556696 Singapore",6562839685,"{""Sunday"":[""1130-2230""],""Monday"":[""1130-2230""],""Tuesday"":[""1130-2230""],""Wednesday"":[""1130-2230""],""Thursday"":[""1130-2230""],""Friday"":[""1130-2230""],""Saturday"":[""1130-2230""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/1a/c1/8c/c6/it-s-good-family-restaurants.jpg,Serangoon
Baci Baci,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d7937301-Reviews-Baci_Baci-Singapore.html,"Italian,Vegetarian Friendly,Vegan Options",127,$$,"27 Lichfield Road Serangoon Garden Estate, Singapore 556847 Singapore",6598207969,"{""Sunday"":[""1200-1400"",""1800-2200""],""Monday"":[""1200-1400"",""1800-2200""],""Tuesday"":[""1200-1400"",""1800-2200""],""Wednesday"":[""1200-1400"",""1800-2200""],""Thursday"":[""1200-1400"",""1800-2200""],""Friday"":[""1200-1400"",""1800-2200""],""Saturday"":[""1200-1400"",""1800-2200""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/1b/3d/94/c3/rocket-salad-cherry-tomatoes.jpg,Serangoon
Serangoon Gardens Pow Sing Restaurant,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d11750347-Reviews-Serangoon_Gardens_Pow_Sing_Restaurant-Singapore.html,"Chinese,Seafood,Asian",11,$$,"59 Serangoon Garden Way Serangoon Garden Estate, Singapore 555955 Singapore",6562827927,"{""Sunday"":[""1100-1500"",""1700-2200""],""Monday"":[""1100-1500"",""1700-2200""],""Tuesday"":[""1100-1500"",""1700-2200""],""Wednesday"":[""1100-1500"",""1700-2200""],""Thursday"":[""1100-1500"",""1700-2200""],""Friday"":[""1100-1500"",""1700-2200""],""Saturday"":[""1100-1500"",""1700-2200""]}",3,https://media-cdn.tripadvisor.com/media/photo-p/15/c0/6d/7d/photo0jpg.jpg,Serangoon
Macpherson Barbecue Seafood,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d7653470-Reviews-Macpherson_Barbecue_Seafood-Singapore.html,"Chinese,Seafood,Barbecue",28,$$,"34 South Bridge Road Leagoo Building, Singapore 058668 Singapore",6565333758,"{""Sunday"":[""1100-2230""],""Monday"":[""1100-2230""],""Tuesday"":[""1100-2230""],""Wednesday"":[""1100-2230""],""Thursday"":[""1100-2230""],""Friday"":[""1100-2230""],""Saturday"":[""1100-2230""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/12/e1/d3/7f/20180507-195345-largejpg.jpg,Macpherson
Casuarina Curry Macpherson Road,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d11965152-Reviews-Casuarina_Curry_Macpherson_Road-Singapore.html,Indian,9,$,"187 Macpherson Road Sennett Estate Beside UOB Bank, Singapore 348545 Singapore",6562859001,"{""Sunday"":[""0800-0000""],""Monday"":[""1000-0000""],""Tuesday"":[""1000-0000""],""Wednesday"":[""1000-0000""],""Thursday"":[""1000-0000""],""Friday"":[""1000-0000""],""Saturday"":[""0800-0000""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/11/b1/29/d8/masala-chicken.jpg,Macpherson
Knots Cafe and Living,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d11750565-Reviews-Knots_Cafe_and_Living-Singapore.html,Cafe,108,$$,"160 Paya Lebar Road #01-07 Orion @ Paya Lebar, Singapore 409022 Singapore",6568170383,"{""Sunday"":[""0900-2100""],""Monday"":[""0900-2100""Tuesday"":[""0900-2100""],""Wednesday"":[""0900-2100""],""Thursday"":[""0900-2100""],""Friday"":[""0900-2200""],""Saturday"":[""0900-2200""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/1c/82/c7/f3/sunday-brunch.jpg,Macpherson
La Pizzaiola,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3856125-Reviews-La_Pizzaiola-Singapore.html,"Italian,Pizza,European",104,$$,"15/3 Jalan Riang, Singapore 358987 Singapore",6562825031,"{""Sunday"":[""1100-1430"",""1745-2230""],""Monday"":[""1100-1430"",""1745-2230""],""Tuesday"":[""1100-1430"",""1745-2230""],""Wednesday"":[""1100-1430"",""1745-2230""],""Thursday"":[""1100-1430"",""1745-2230""],""Friday"":[""1100-1430"",""1745-2230""],""Saturday"":[""1100-1430"",""1745-2230""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/0d/ef/88/6e/restaurant-exterior.jpg,Braddell
Yeo Keng Nam Traditional Hainanese Chicken Rice,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3569692-Reviews-Yeo_Keng_Nam_Traditional_Hainanese_Chicken_Rice-Singapore.html,Asian,25,$,"8 Braddell Road, Singapore 359898 Singapore",6562834153,"{""Sunday"":[""1000-2100""],""Monday"":[""1000-2100""],""Tuesday"":[""1000-2100""],""Wednesday"":[""1000-2100""],""Thursday"":[""1000-2100""],""Friday"":[""1000-2100""],""Saturday"":[""1000-2100""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/09/d9/b2/60/yeo-keng-nam-traditional.jpg,Braddell
Teochew Handmade Pau,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1436923-Reviews-Teochew_Handmade_Pau-Singapore.html,Chinese,13,$,"Blk 127 Lorong 1 Toa Payoh #02-02, Singapore 310127 Singapore",6598295217,"{""Sunday"":[""0600-1200""],""Monday"":[],""Tuesday"":[""0600-1400""],""Wednesday"":[""0600-1400""],""Thursday"":[""0600-1400""],""Friday"":[""0600-1400""],""Saturday"":[""0600-1400""]}",3.5,https://media-cdn.tripadvisor.com/media/photo-s/13/b2/40/3c/main-branch.jpg,Braddell
